search_term,endpoint_type,rank,doc_id,part_number,sku_name,score,negative_intent,llm_judgment
2 hounds design freedom no pull dog harness,knn,1,155033,127944,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Teal, Medium: 22 to 28-in chest, 5/8-in wide",1.7729195,pull,COMPLIANT
2 hounds design freedom no pull dog harness,knn,2,155034,127945,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Teal, Medium: 22 to 28-in chest, 1-in wide",1.7541875,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,3,136906,109526,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Brown, Small: 18 to 24-in chest, 5/8-in wide",1.7228334,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,4,155032,127943,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Teal, Small: 18 to 24-in chest, 5/8-in wide",1.7190769,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,5,167165,140231,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Neon Orange, Medium: 22 to 28-in chest, 1-in wide",1.7169539,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,6,136915,109535,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Brown, Medium: 22 to 28-in chest, 5/8-in wide",1.7154331,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,7,155036,127947,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Teal, X-Large: 30 to 36-in chest, 1-in wide",1.7084004,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,8,167163,140229,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Navy, Medium: 22 to 28-in chest, 1-in wide",1.7075269,pull,COMPLIANT
2 hounds design freedom no pull dog harness,knn,9,136904,109524,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Black, Small: 18 to 24-in chest, 5/8-in wide",1.7014873,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,10,167164,140230,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Neon Green, Medium: 22 to 28-in chest, 1-in wide",1.6952167,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,11,155035,127946,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Teal, Large: 28 to 32-in chest, 1-in wide",1.6940881,pull,COMPLIANT
2 hounds design freedom no pull dog harness,knn,12,136924,109544,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Brown, Medium: 22 to 28-in chest, 1-in wide",1.6922956,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,13,136928,109548,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Raspberry, Medium: 22 to 28-in chest, 1-in wide",1.680189,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,14,136933,109553,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Brown, Large: 28 to 32-in chest, 1-in wide",1.6763154,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,15,136914,109534,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Royal Blue, Medium: 22 to 28-in chest, 5/8-in wide",1.6741703,pull,COMPLIANT
2 hounds design freedom no pull dog harness,knn,16,136911,109531,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Red, Small: 18 to 24-in chest, 5/8-in wide",1.672643,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,17,167175,140241,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Neon Orange, X-Large: 30 to 36-in chest, 1-in wide",1.6718823,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,18,136919,109539,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Raspberry, Medium: 22 to 28-in chest, 5/8-in wide",1.6705256,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,19,167173,140239,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Navy, X-Large: 30 to 36-in chest, 1-in wide",1.6690519,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,20,136942,109562,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Brown, X-Large: 32 to 36-in chest, 1-in wide",1.6667802,pull,VIOLATION
2 hounds design freedom no pull dog harness,knn,21,136922,109542,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Black, Medium: 22 to 28-in chest, 1-in wide",1.6662352,pull,VIOLATION
