search_term,endpoint_type,rank,doc_id,part_number,sku_name,score,negative_intent,llm_judgment
2 hounds design freedom no pull dog harness,l1_hybrid,1,155034,127945,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Teal, Medium: 22 to 28-in chest, 1-in wide",0.5,pull,VIOLATION
2 hounds design freedom no pull dog harness,l1_hybrid,2,148102,120925,"HDP Big Dog No Pull Dog Harness, Red, Large",0.3333333333333333,pull,VIOLATION
2 hounds design freedom no pull dog harness,l1_hybrid,3,1098406,1098406,"PetSafe Easy Walk Comfort Reflective No Pull Dog Harness, Black, Large: 30 to 42-in chest",0.25,pull,UNCLEAR
2 hounds design freedom no pull dog harness,l1_hybrid,4,1074806,1074806,"Joyride Harness Premium Advanced No Pull Dog Harness 2.0, Black Onyx, Medium: 23 to 28-in chest",0.2,pull,VIOLATION
2 hounds design freedom no pull dog harness,l1_hybrid,5,304286,277885,"Frisco Basic No Pull Harness, Pink/Gray, XL",0.1666666666666666,pull,UNCLEAR
2 hounds design freedom no pull dog harness,l1_hybrid,6,845222,845222,"Red Dingo No Pull Dog Harness, Grey, Large",0.1428571428571428,pull,VIOLATION
2 hounds design freedom no pull dog harness,l1_hybrid,7,304306,277905,"Frisco Padded Reflective No Pull Harness, Pink/Black, LG",0.125,pull,UNCLEAR
2 hounds design freedom no pull dog harness,l1_hybrid,8,1016726,1016726,"WildHound No-Pull Premium Martingale Dog Harness, Black, Medium",0.1111111111111111,pull,VIOLATION
2 hounds design freedom no pull dog harness,l1_hybrid,9,131832,104351,"Sporn Original No Pull Training Halter Dog Harness, Black, X-Large: 23 to 33-in neck",0.1,pull,VIOLATION
2 hounds design freedom no pull dog harness,l1_hybrid,10,3319558,3319558,"BARKBAY Front Clip Reflective No Pull Dog Harness, Cool Mint & Baby Pink, Large: 24.5 to 32.5-in chest",0.0909090909090909,pull,VIOLATION
2 hounds design freedom no pull dog harness,l1_hybrid,11,1202606,1202606,"Gooby Escape Free Comfort X One Dog Harness, Portland Green, Medium: 16 to 19.75-in chest",0.0833333333333333,pull,COMPLIANT
2 hounds design freedom no pull dog harness,l1_hybrid,12,3279750,3279750,"Puppia Amatus A Over-The-Head Adjustable No-Pull Dog Harness, Beige, Large",0.0769230769230769,pull,VIOLATION
2 hounds design freedom no pull dog harness,l1_hybrid,13,3279238,3279238,"Puppia Irvin Over-The-Head Adjustable No-Pull Dog Harness, Cream, Large",0.0714285714285714,pull,VIOLATION
acana grain free,l1_hybrid,1,286031,259585,"ACANA Free-Run Poultry Wholesome Grains Dry Dog Food, 4-lb bag",0.5,grain,VIOLATION
acana grain free,l1_hybrid,2,287324,260878,"ACANA Singles Beef & Pumpkin Grain-Free Limited Ingredients & Freeze-Dried Dog Treats, 1.25-oz bag",0.3333333333333333,grain,COMPLIANT
acana grain free,l1_hybrid,3,126820,99268,"ACANA Singles Lamb & Apple Grain-Free Limited Ingredients & Freeze-Dried Dog Treats, 3.25-oz bag",0.25,grain,COMPLIANT
acana grain free,l1_hybrid,4,121059,93449,"ACANA Free Run Poultry Grain-Free Dry Dog Food, 25-lb bag",0.2,grain,COMPLIANT
acana grain free,l1_hybrid,5,121069,93459,"ACANA Red Meat Grain-Free Dry Dog Food, 13-lb bag",0.1666666666666666,grain,COMPLIANT
acana grain free,l1_hybrid,6,826566,826566,"ACANA Butcher's Favorites Grain-Free Free-Run Poultry & Liver Dry Dog Food, 17-lb bag",0.1428571428571428,grain,COMPLIANT
acana grain free,l1_hybrid,7,826582,826582,"ACANA Butcher's Favorites Grain-Free Farm-Raised Beef & Liver Dry Dog Food, 4-lb bag",0.125,grain,COMPLIANT
acana grain free,l1_hybrid,8,126822,99270,"ACANA Singles Duck & Pear Grain-Free Limited Ingredients & Freeze-Dried Dog Treats, 1.25-oz bag",0.1111111111111111,grain,COMPLIANT
acana grain free,l1_hybrid,9,826614,826614,"ACANA Butcher's Favorites Grain-Free Wild-Caught Salmon Dry Dog Food, 17-lb bag",0.1,grain,COMPLIANT
acana grain free,l1_hybrid,10,121065,93455,"ACANA Freshwater Fish Grain-Free Dry Dog Food, 13-lb bag",0.0909090909090909,grain,COMPLIANT
acana grain free,l1_hybrid,11,285981,259535,"ACANA Singles Limited Ingredient Pork & Squash Grain-Free High-Protein Dry Dog Food, 22.5-lb bag",0.0833333333333333,grain,COMPLIANT
acana grain free,l1_hybrid,12,285977,259531,"ACANA Singles Limited Ingredient Lamb & Apple Grain-Free High-Protein Dry Dog Food, 22.5-lb bag",0.0769230769230769,grain,COMPLIANT
acana grain free,l1_hybrid,13,1106990,1106990,"ACANA Wholesome Grains Puppy Sea & Farm Dry Dog Food, 4-lb bag",0.0714285714285714,grain,VIOLATION
acana grain free,l1_hybrid,14,285972,259526,"ACANA Singles Limited Ingredient Beef & Pumpkin Grain-Free High-Protein Dry Dog Food, 13-lb bag",0.0666666666666666,grain,COMPLIANT
acana grain free,l1_hybrid,15,286019,259573,"ACANA Limited Ingredient Duck & Pumpkin Wholesome Grains Dry Dog Food, 4-lb bag",0.0625,grain,VIOLATION
acana grain free,l1_hybrid,16,286023,259577,"ACANA Limited Ingredient Lamb & Pumpkin Wholesome Grains Dry Dog Food, 22.5-lb bag",0.0588235294117647,grain,VIOLATION
acana grain free,l1_hybrid,17,822694,822694,"ACANA Wholesome Large Breed Adult Grains Dry Dog Food, 22.5-lb bag",0.0555555555555555,grain,VIOLATION
acana grain free,l1_hybrid,18,123893,96320,"ACANA Appalachian Ranch Highest Protein Grain-Free Dry Dog Food, 25-lb bag",0.0526315789473684,grain,COMPLIANT
acana grain free,l1_hybrid,19,294321,267893,"ACANA Wholesome Grains Small Breed Real Chicken Eggs & Turkey Dry Dog Food, 4-lb bag",0.05,grain,VIOLATION
acana grain free,l1_hybrid,20,741222,741222,"ACANA Ranch-Raised Beef Morsels Grain-Free High-Protein Freeze-Dried Dog Food & Topper, 8-oz bag",0.0476190476190476,grain,COMPLIANT
acana grain free,l1_hybrid,21,286026,259580,"ACANA Red Meat & Grains Beef Pork & Lamb Wholesome Grains Dry Dog Food, 22.5-lb bag",0.0454545454545454,grain,VIOLATION
acana grain free,l1_hybrid,22,286008,259562,"ACANA Singles Limited Ingredient Duck & Pear Grain-Free High-Protein Dry Dog Food, 22.5-lb bag",0.0434782608695652,grain,COMPLIANT
acana grain free,l1_hybrid,23,741158,741158,"ACANA Free-Run Chicken Morsels Grain-Free High-Protein Freeze-Dried Dog Food & Topper, 8-oz bag",0.0416666666666666,grain,COMPLIANT
acana grain free,l1_hybrid,24,294318,267890,"ACANA Wholesome Grains Puppy Real Chicken Eggs &Turkey Dry Dog Food, 4-lb bag",0.04,grain,VIOLATION
acana grain free,l1_hybrid,25,1106974,1106974,"ACANA Premium Pate Poultry in Bone Broth Grain-Free Wet Dog Food, 12.8-oz, case of 12",0.0384615384615384,grain,COMPLIANT
acana grain free,l1_hybrid,26,286010,259564,"ACANA Puppy Grain-Free Dry Dog Food, 4.5-lb bag",0.037037037037037,grain,COMPLIANT
acana grain free,l1_hybrid,27,285990,259544,"ACANA Light & Fit Grain-Free Dry Dog Food, 13-lb bag",0.0357142857142857,grain,VIOLATION
acana grain free,l1_hybrid,28,741190,741190,"ACANA Free-Run Turkey Morsels Grain-Free High-Protein Freeze-Dried Dog Food & Topper, 8-oz bag",0.0344827586206896,grain,COMPLIANT
acana grain free,l1_hybrid,29,286028,259582,"ACANA Sea to Stream Saltwater Fish Wholesome Grains Dry Dog Food, 4-lb bag",0.0333333333333333,grain,VIOLATION
acana grain free,l1_hybrid,30,741302,741302,"ACANA Premium Chunks Pork in Bone Broth Grain-Free Wet Dog Food, 12.8-oz can, case of 12",0.032258064516129,grain,UNCLEAR
acana grain free,l1_hybrid,31,741126,741126,"ACANA Free-Run Duck Morsels Grain-Free High-Protein Freeze-Dried Dog Food & Topper, 8-oz bag",0.03125,grain,COMPLIANT
acana grain free,l1_hybrid,32,822710,822710,"ACANA Wholesome Grains Large Breed Puppy Dry Dog Food, 22.5-lb bag",0.0303030303030303,grain,VIOLATION
acana grain free,l1_hybrid,33,123871,96298,"ACANA Meadowland Highest Protein Grain-Free Dry Dog Food, 4.5-lb bag",0.0294117647058823,grain,COMPLIANT
acana grain free,l1_hybrid,34,285994,259548,"ACANA Grasslands Chicken Duck Turkey Fish & Quail Grain-Free Dry Cat Food, 10-lb bag",0.0285714285714285,grain,COMPLIANT
acana grain free,l1_hybrid,35,1026366,1026366,"ACANA Indoor Entree Fish Dry Cat Food, 10-lb bag",0.0277777777777777,grain,COMPLIANT
acana grain free,l1_hybrid,36,2318470,2318470,"ACANA Jerky Bites Duck Flavor Grain-Free High-Protein Dog Treats, 6-oz bag",0.027027027027027,grain,COMPLIANT
acana grain free cat,l1_hybrid,1,285993,259547,"ACANA Grasslands Chicken Duck Turkey Fish & Quail Grain-Free Dry Cat Food, 4-lb bag",0.5,grain,COMPLIANT
acana grain free cat,l1_hybrid,2,285997,259551,"ACANA Meadowlands Chicken Turkey Fish & Cage-Free Eggs Grain-Free Dry Cat Food, 10-lb bag",0.3333333333333333,grain,COMPLIANT
acana grain free cat,l1_hybrid,3,285969,259523,"ACANA Wild Atlantic Saltwater Fish with Freeze-Dried Liver Grain-Free Dry Cat Food, 10-lb bag",0.25,grain,COMPLIANT
acana grain free cat,l1_hybrid,4,1026302,1026302,"ACANA Premium Variety Pack Salmon, Chicken & Tuna Pate in Bone Broth Wet Cat Food, 3-oz can, case of 12",0.2,grain,UNCLEAR
acana grain free cat,l1_hybrid,5,638206,638206,"ACANA Senior Entree Chicken & Turkey Dry Cat Food, 4-lb bag",0.1666666666666666,grain,COMPLIANT
acana grain free cat,l1_hybrid,6,1026318,1026318,"ACANA Indoor Cat Highest Protein Dry Cat Food, 4-lb bag",0.1428571428571428,grain,UNCLEAR
acana grain free cat,l1_hybrid,7,1556638,1556638,"ACANA Salmon & Chicken + Chicken & Tuna Variety Pack Chunks in Broth Wet Cat Food, 3-oz can, case of 12",0.125,grain,COMPLIANT
acana grain free cat,l1_hybrid,8,285986,259540,"ACANA Bountiful Catch Salmon Catfish & Herring Dry Cat Food, 4-lb bag",0.1111111111111111,grain,COMPLIANT
acana grain free cat,l1_hybrid,9,1272406,1272406,"ACANA Salmon & Chicken Chunks in Broth Wet Cat Food, 3-oz can, case of 12",0.1,grain,UNCLEAR
