search_term,endpoint_type,rank,doc_id,part_number,sku_name,score,negative_intent,llm_judgment
2 hounds design freedom no pull dog harness,lexical,1,155035,127946,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Teal, Large: 28 to 32-in chest, 1-in wide",847.8901,pull,COMPLIANT
acana grain free,lexical,1,121070,93460,"ACANA Red Meat Grain-Free Dry Dog Food, 25-lb bag",442.78577,grain,COMPLIANT
acana grain free,lexical,2,121059,93449,"ACANA Free Run Poultry Grain-Free Dry Dog Food, 25-lb bag",428.76843,grain,COMPLIANT
acana grain free,lexical,3,286008,259562,"ACANA Singles Limited Ingredient Duck & Pear Grain-Free High-Protein Dry Dog Food, 22.5-lb bag",428.38467,grain,COMPLIANT
acana grain free,lexical,4,285977,259531,"ACANA Singles Limited Ingredient Lamb & Apple Grain-Free High-Protein Dry Dog Food, 22.5-lb bag",427.5792,grain,COMPLIANT
acana grain free,lexical,5,285973,259527,"ACANA Singles Limited Ingredient Beef & Pumpkin Grain-Free High-Protein Dry Dog Food, 22.5-lb bag",424.87442,grain,COMPLIANT
acana grain free,lexical,6,285997,259551,"ACANA Meadowlands Chicken Turkey Fish & Cage-Free Eggs Grain-Free Dry Cat Food, 10-lb bag",417.3905,grain,COMPLIANT
acana grain free,lexical,7,285991,259545,"ACANA Light & Fit Grain-Free Dry Dog Food, 25-lb bag",416.2449,grain,VIOLATION
acana grain free,lexical,8,121066,93456,"ACANA Freshwater Fish Grain-Free Dry Dog Food, 25-lb bag",415.60947,grain,COMPLIANT
acana grain free,lexical,9,286032,259586,"ACANA Free-Run Poultry Wholesome Grains Dry Dog Food, 22.5-lb bag",403.8162,grain,VIOLATION
acana grain free,lexical,10,826590,826590,"ACANA Butcher's Favorites Grain-Free Farm-Raised Beef & Liver Dry Dog Food, 17-lb bag",403.0593,grain,COMPLIANT
acana grain free,lexical,11,126823,99271,"ACANA Singles Duck & Pear Grain-Free Limited Ingredients & Freeze-Dried Dog Treats, 3.25-oz bag",397.06305,grain,COMPLIANT
acana grain free,lexical,12,287325,260879,"ACANA Singles Beef & Pumpkin Grain-Free Limited Ingredients & Freeze-Dried Dog Treats, 3.25-oz bag",397.0457,grain,COMPLIANT
acana grain free,lexical,13,979758,979758,"ACANA Premium Beef & Lamb Chunks in Bone Broth Variety Pack Grain-Free Wet Dog Food, 12.8-oz can, case of 6",397.03622,grain,COMPLIANT
acana grain free,lexical,14,826614,826614,"ACANA Butcher's Favorites Grain-Free Wild-Caught Salmon Dry Dog Food, 17-lb bag",396.62692,grain,COMPLIANT
acana grain free,lexical,15,126820,99268,"ACANA Singles Lamb & Apple Grain-Free Limited Ingredients & Freeze-Dried Dog Treats, 3.25-oz bag",395.55917,grain,COMPLIANT
acana grain free,lexical,16,123882,96309,"ACANA Wild Atlantic Highest Protein Grain-Free Dry Dog Food, 25-lb bag",389.15115,grain,COMPLIANT
acana grain free,lexical,17,741222,741222,"ACANA Ranch-Raised Beef Morsels Grain-Free High-Protein Freeze-Dried Dog Food & Topper, 8-oz bag",388.41916,grain,COMPLIANT
acana grain free,lexical,18,285981,259535,"ACANA Singles Limited Ingredient Pork & Squash Grain-Free High-Protein Dry Dog Food, 22.5-lb bag",387.86252,grain,COMPLIANT
acana grain free,lexical,19,286012,259566,"ACANA Puppy Grain-Free Dry Dog Food, 25-lb bag",387.3473,grain,COMPLIANT
acana grain free,lexical,20,826566,826566,"ACANA Butcher's Favorites Grain-Free Free-Run Poultry & Liver Dry Dog Food, 17-lb bag",386.89526,grain,COMPLIANT
acana grain free,lexical,21,285969,259523,"ACANA Wild Atlantic Saltwater Fish with Freeze-Dried Liver Grain-Free Dry Cat Food, 10-lb bag",381.1445,grain,COMPLIANT
acana grain free,lexical,22,123873,96300,"ACANA Meadowland Highest Protein Grain-Free Dry Dog Food, 25-lb bag",379.91306,grain,COMPLIANT
acana grain free,lexical,23,741254,741254,"ACANA Premium Chunks Beef in Bone Broth Grain-Free Wet Dog Food, 12.8-oz can, case of 12",379.0966,grain,COMPLIANT
acana grain free,lexical,24,741286,741286,"ACANA Premium Chunks Lamb in Bone Broth Grain-Free Wet Dog Food, 12.8-oz can, case of 12",374.82895,grain,COMPLIANT
acana grain free,lexical,25,741126,741126,"ACANA Free-Run Duck Morsels Grain-Free High-Protein Freeze-Dried Dog Food & Topper, 8-oz bag",372.68915,grain,COMPLIANT
acana grain free,lexical,26,741270,741270,"ACANA Premium Chunks Duck in Bone Broth Grain-Free Wet Dog Food, 12.8-oz can, case of 12",372.5596,grain,COMPLIANT
