pair_id,search_term,part_number,sku_name,negative_intent,judgment,timestamp
5991b54748d2,chicken free dry dog food,150190,"True Acre Foods Grain-Free Chicken & Vegetable Dry Dog Food, 40-lb bag",chicken,VIOLATION,2026-02-02T11:32:26.205295
d624f9ada948,chicken free dry dog food,51515,"Nature's Recipe Small Breed Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food, 4-lb bag",chicken,VIOLATION,2026-02-02T11:32:26.208195
b559e5c0eae2,chicken free dry dog food,51500,"Nature's Recipe Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food, 4-lb bag",chicken,VIOLATION,2026-02-02T11:32:27.130741
4802446f1549,chicken free dry dog food,203092,"Merrick Limited Ingredient Diet Grain-Free Chicken-Free Real Salmon & Sweet Potato Recipe Dry Dog Food, 4-lb bag",chicken,COMPLIANT,2026-02-02T11:32:27.173635
919dd55c4c78,chicken free dry dog food,253856,"Merrick Real Chicken + Sweet Potato Recipe Grain-Free Adult Dry Dog Food, 30-lb bag",chicken,VIOLATION,2026-02-02T11:32:27.601838
73b925a47765,chicken free dry dog food,253854,"Merrick Real Beef + Sweet Potato Recipe Grain-Free Chicken-Free Adult Dry Dog Food, 30-lb bag",chicken,COMPLIANT,2026-02-02T11:32:27.931805
9945e4f4d389,chicken free dry dog food,221529,"I and Love and You Naked Essentials Grain-Free Chicken and Duck Recipe Dry Dog Food, 40-lb bag",chicken,VIOLATION,2026-02-02T11:32:28.472701
a77bcc683890,chicken free dry dog food,721950,"Halo Holistic Complete Digestive Health Grain-Free Chicken & Sweet Potato Dog Food Recipe Small Breed Dry Dog Food, 10-lb bag",chicken,VIOLATION,2026-02-02T11:32:29.077824
78ec81c35d30,chicken free dry dog food,271646,"Nutrish Grain-Free Chicken & Sweet Potato Recipe Dry Dog Food, 26-lb bag (Rachael Ray)",chicken,VIOLATION,2026-02-02T11:32:29.146731
6f088f1f6c9e,chicken free dry dog food,203098,"Merrick Limited Ingredient Diet Grain-Free Chicken-Free Real Lamb & Sweet Potato Recipe Dry Dog Food, 22-lb bag",chicken,COMPLIANT,2026-02-02T11:32:29.194590
81742b87b28b,chicken free dry dog food,306153,"American Natural Premium Legume-Free Chicken-Free Duck with Butternut Squash Dry Dog Food, 30-lb bag",chicken,COMPLIANT,2026-02-02T11:32:29.857755
9d9f78d429c1,chicken free dry dog food,237939,"Natural Balance Limited Ingredient Grain-Free Chicken & Sweet Potato Recipe Dry Dog Food, 24-lb bag",chicken,VIOLATION,2026-02-02T11:32:30.004529
c8e602f6e020,chicken free dry dog food,200599,"Merrick Grain-Free Senior Dry Dog Food Real Chicken & Sweet Potato Recipe, 4-lb bag",chicken,VIOLATION,2026-02-02T11:32:30.226556
f67dcd5adabc,chicken free dry dog food,51421,"Blue Buffalo Freedom Small Breed Grain-Free Chicken & Potatoes Dry Dog Food, 4-lb bag",chicken,VIOLATION,2026-02-02T11:32:30.768804
76a723ba9b8f,chicken free dry dog food,119452,"Wholesomes Chicken Meal & Potatoes Formula Grain-Free Dry Dog Food, 35-lb bag",chicken,VIOLATION,2026-02-02T11:32:31.084536
06ae74a91db6,chicken free dry dog food,64567,"Blue Buffalo Freedom Complete & Balanced Nutrition Adult Grain-Free Chicken & Potatoes Dry Dog Food, 4-lb bag",chicken,VIOLATION,2026-02-02T11:32:31.255965
6a086205927c,chicken free dry dog food,721982,"Halo Holistic Complete Digestive Health Grain-Free Chicken & Sweet Potato Dog Food Recipe Adult Dry Dog Food, 21-lb bag",chicken,VIOLATION,2026-02-02T11:32:31.628305
5fbc3c17564f,chicken free dry dog food,200603,"Merrick Grain-Free Large Breed Dry Dog Food Real Chicken & Sweet Potato Recipe, 22-lb bag",chicken,VIOLATION,2026-02-02T11:32:31.979227
