variant,endpoint,k,violation_rate,compliant_rate,unclear_rate,total_search_terms
control,l1_hybrid,4,0.27693920335429767,0.6651991614255764,0.05786163522012579,795
control,l1_hybrid,10,0.2812788259958065,0.645890985324947,0.0728301886792454,795
control,l1_hybrid,36,0.2841009342144256,0.6060005898382784,0.10989847594729533,795
control,l2,4,0.2748427672955975,0.6654088050314465,0.059748427672955975,795
control,l2,10,0.27805031446540834,0.6502515723270437,0.0716981132075473,795
control,l2,36,0.2833892774056901,0.6066931102908738,0.10991761230343555,795
control,knn,4,0.25471698113207547,0.6757861635220126,0.06949685534591195,795
control,knn,10,0.2608525506638712,0.6590216631726057,0.08012578616352208,795
control,knn,36,0.2683616087944607,0.6222023736119194,0.10943601759362005,795
control,lexical,4,0.27112232030264816,0.6954602774274907,0.033417402269861285,793
control,lexical,10,0.2806691487019352,0.6690506215096372,0.05028022978842654,793
control,lexical,36,0.28549303510560026,0.6187589475838433,0.09574801731055645,793
