endpoint,k,variant,negative_intent,terms_with_volume,total_volume,weighted_violation_rate,weighted_compliant_rate,weighted_unclear_rate
lexical,36,control,all negative intent,793,7012954,0.22804606437977365,0.7050147851679001,0.0669391504523263
lexical,36,control,grain,332,2692575,0.06069737167711525,0.922507542712992,0.016795085609892582
lexical,36,control,chicken,59,461986,0.8191462182735442,0.1528849209213655,0.02796886080509019
lexical,36,control,pull,53,820714,0.2588138769683741,0.7305935300988389,0.010592592932786948
lexical,36,control,rawhide,47,760133,0.11131884976188854,0.8130797706791713,0.07560137955894014
lexical,36,control,hide,36,388507,0.312849195390521,0.6750301183965585,0.012120686212920645
lexical,36,control,stuffing,24,369948,0.024424904160704825,0.9507812209043193,0.024793874934975847
lexical,36,control,dust,14,170435,0.14680057430899135,0.20001087183487234,0.6531885538561362
lexical,36,control,mess,14,59732,0.0726564767070693,0.3589905280623823,0.5683529952305483
lexical,36,control,gluten,10,66998,0.24496129237688682,0.7373225900607316,0.017716117562381617
lexical,36,control,odor,10,65047,0.06904281177883338,0.8787141946934097,0.05224299352775684
lexical,36,control,corn,9,26069,0.21645654054837374,0.5037741719624416,0.27976928748918467
lexical,36,control,waste,9,90813,0.062470559158808586,0.6018344167562892,0.3356950240849022
lexical,36,control,gmo,7,43028,0.0,0.8967119601706384,0.10328803982936177
lexical,36,control,non clumping,7,175160,0.9371246289107104,0.05737682690111893,0.005498544188170814
lexical,36,control,poultry,7,28243,0.9150143398364197,0.004955013434990765,0.08003064672858955
lexical,36,control,soy,6,23601,0.05004378345550325,0.5287581976281609,0.42119801891633596
lexical,36,control,spill,6,94240,0.27936032116581777,0.6792326919449161,0.04140698688926614
lexical,36,control,chew,5,51318,0.38428760302664194,0.6139256078458697,0.0017867891274882923
lexical,36,control,shock,5,26156,0.8369791932167677,0.10218602912439889,0.06083477765883328
lexical,36,control,sugar,5,22557,0.14088629792180793,0.17322412850408594,0.6858895735741061
lexical,36,control,tracking,5,39207,0.23273692622915973,0.3577705795166963,0.40949249425414397
lexical,36,control,melt,4,15479,0.040226543489028106,0.3093366640107385,0.6504367925002333
lexical,36,control,poo,4,15555,0.530835591067028,0.46916440893297207,0.0
lexical,36,control,poop,4,41032,0.4594016052511861,0.5387008242889019,0.0018975704599120415
lexical,36,control,scratch,4,13691,0.793194434299905,0.14407274852092616,0.0627328171791688
lexical,36,control,squeak,4,44033,0.946907243809567,0.053092756190432876,0.0
lexical,36,control,wheat,4,25483,0.019668886011153377,0.8103866630040942,0.16994445098475233
lexical,36,control,allergy,3,8756,0.07113217603167349,0.7206899395969748,0.2081778843713517
lexical,36,control,fragrance,3,13202,0.6110143244289585,0.1063348987527142,0.2826507768183272
lexical,36,control,"grain, chicken",3,14179,0.8838462201534352,0.0989432729153443,0.017210506931220615
lexical,36,control,non gmo,3,4415,0.7630363659242482,0.12863344658361642,0.10833018749213538
lexical,36,control,scent,3,8027,0.9440430214692082,0.0,0.055956978530791894
lexical,36,control,unscented,3,9558,0.9689265536723164,0.019774011299435023,0.011299435028248588
lexical,36,control,zip,3,3629,0.10381188573528058,0.7600777685925111,0.13611034567220845
lexical,36,control,clay,2,8250,0.3557979797979798,0.5636767676767677,0.08052525252525251
lexical,36,control,clumping,2,7730,0.2624119591778065,0.7375880408221934,0.0
lexical,36,control,ears,2,9348,0.8333333333333334,0.16666666666666663,0.0
lexical,36,control,fat,2,10582,0.2615185115185115,0.09541359541359541,0.643067893067893
lexical,36,control,free,2,8017,0.8164148768408196,0.18358512315918044,0.0
lexical,36,control,non prescription,2,2306,0.2741158330924159,0.6591861809771611,0.066697985930423
lexical,36,control,pee,2,3586,0.9400910949990704,0.0401639090289397,0.01974499597198978
lexical,36,control,prescription,2,27113,0.40290328132875985,0.33639459545851313,0.260702123212727
lexical,36,control,teeth,2,4663,1.0,0.0,0.0
lexical,36,control,tip,2,12866,0.053707445981657026,0.6499775463322798,0.2963150076860631
lexical,36,control,additives,1,1600,0.0,0.0,1.0
lexical,36,control,aller,1,974,1.0,0.0,0.0
lexical,36,control,bark,1,10077,0.9444444444444444,0.05555555555555549,0.0
lexical,36,control,bell,1,3873,1.0,0.0,0.0
lexical,36,control,bpa,1,1302,0.0,0.0,1.0
lexical,36,control,carpet,1,1496,0.5555555555555556,0.055555555555555504,0.3888888888888889
lexical,36,control,cat pee,1,1215,0.5555555555555556,0.4444444444444444,0.0
lexical,36,control,catnip,1,1519,1.0,0.0,0.0
lexical,36,control,choke,1,1536,0.0833333333333333,0.8611111111111112,0.0555555555555555
lexical,36,control,clump,1,3211,0.8888888888888888,0.1111111111111111,0.0
lexical,36,control,corn and soy,1,2593,0.0555555555555555,0.6111111111111112,0.3333333333333333
lexical,36,control,d3,1,1856,0.2777777777777778,0.1944444444444444,0.5277777777777778
lexical,36,control,dehp,1,5570,1.0,0.0,0.0
lexical,36,control,"dust, scent",1,1132,0.1944444444444444,0.25,0.5555555555555556
lexical,36,control,escape,1,1062,0.1111111111111111,0.8333333333333334,0.0555555555555555
lexical,36,control,fish,1,1456,1.0,0.0,0.0
lexical,36,control,gain,1,977,1.0,0.0,0.0
lexical,36,control,"grain, fat",1,1870,0.8888888888888888,0.0,0.1111111111111111
lexical,36,control,grow,1,2780,0.0277777777777777,0.41666666666666674,0.5555555555555556
lexical,36,control,hides,1,2331,0.5454545454545454,0.4545454545454544,0.0
lexical,36,control,holes,1,2104,0.9,0.1,0.0
lexical,36,control,iodine,1,3331,0.0,0.0,1.0
lexical,36,control,kibble,1,1761,0.9722222222222222,0.0,0.0277777777777777
lexical,36,control,legume,1,7084,0.8333333333333334,0.1666666666666666,0.0
lexical,36,control,lick,1,1801,1.0,0.0,0.0
lexical,36,control,medicated,1,5619,0.55,0.39999999999999997,0.049999999999999996
lexical,36,control,millet,1,1078,0.5277777777777778,0.1111111111111111,0.3611111111111111
lexical,36,control,no bark,1,7969,1.0,0.0,0.0
