variant,endpoint,k,search_term,violation_rate,compliant_rate,unclear_rate,total_results,violation_count,compliant_count,unclear_count,negative_intent,search_volume
control,l1_hybrid,4,2 hounds design freedom no pull dog harness,0.75,0.0,0.25,4,3,0,1,pull,13268
control,l1_hybrid,4,acana grain free,0.25,0.75,0.0,4,1,3,0,grain,1372
control,l1_hybrid,4,acana grain free cat,0.0,0.75,0.25,4,0,3,1,grain,1699
control,l1_hybrid,4,acana grain-free food for dogs,0.25,0.75,0.0,4,1,3,0,grain,3087
control,l1_hybrid,4,adjustable no pull harness,0.5,0.0,0.5,4,2,0,2,pull,974
control,l1_hybrid,4,aller free,0.75,0.25,0.0,4,3,1,0,aller,974
control,l1_hybrid,4,allergy free cat food,0.75,0.25,0.0,4,3,1,0,allergy,1923
control,l1_hybrid,4,allergy free dog food,0.0,1.0,0.0,4,0,4,0,allergy,2462
control,l1_hybrid,4,allergy free dog treats,0.5,0.25,0.25,4,2,1,1,allergy,4371
control,l1_hybrid,4,american journey grain free,0.0,1.0,0.0,4,0,4,0,grain,1049
control,l1_hybrid,4,american journey grain free dog food,0.25,0.75,0.0,4,1,3,0,grain,3336
control,l1_hybrid,4,audubon park waste free,0.5,0.5,0.0,4,2,2,0,waste free,2251
control,l1_hybrid,4,bark collar no shock,0.25,0.5,0.25,4,1,2,1,shock,3859
control,l1_hybrid,4,barkworthies odor free bully sticks,0.0,1.0,0.0,4,0,4,0,odor,3939
control,l1_hybrid,4,beef dog food grain free,0.0,1.0,0.0,4,0,4,0,grain,1044
control,l1_hybrid,4,beef grain free dog food,0.0,1.0,0.0,4,0,4,0,grain,2045
control,l1_hybrid,4,beneful grain free,1.0,0.0,0.0,4,4,0,0,grain,1604
control,l1_hybrid,4,best bully sticks odor free,0.0,1.0,0.0,4,0,4,0,odor,2943
control,l1_hybrid,4,best no pull harness,1.0,0.0,0.0,4,4,0,0,pull,1798
control,l1_hybrid,4,beyond dry cat food grain free,0.25,0.75,0.0,4,1,3,0,grain,5250
control,l1_hybrid,4,beyond grain free,0.25,0.75,0.0,4,1,3,0,grain,2372
control,l1_hybrid,4,beyond grain free cat food dry,0.75,0.25,0.0,4,3,1,0,grain,3779
control,l1_hybrid,4,beyond grain free dry cat food,0.75,0.25,0.0,4,3,1,0,grain,2175
control,l1_hybrid,4,beyond grain free wet cat food,0.0,0.75,0.25,4,0,3,1,grain,1433
control,l1_hybrid,4,beyond simply grain free cat food,0.25,0.5,0.25,4,1,2,1,grain,3366
control,l1_hybrid,4,bird food wild no mess,0.0,0.75,0.25,4,0,3,1,mess,1138
control,l1_hybrid,4,bird seed no mess,0.0,0.75,0.25,4,0,3,1,mess,1067
control,l1_hybrid,4,bird seed no waste,0.0,1.0,0.0,4,0,4,0,waste,3357
control,l1_hybrid,4,bird seed wild no mess,0.0,0.75,0.25,4,0,3,1,mess,3963
control,l1_hybrid,4,bird seed wild no waste,0.0,1.0,0.0,4,0,4,0,waste,16977
control,l1_hybrid,4,bird suet cakes no melt,0.25,0.75,0.0,4,1,3,0,melt,3661
control,l1_hybrid,4,blue buffalo chicken free,1.0,0.0,0.0,4,4,0,0,chicken,3208
control,l1_hybrid,4,blue buffalo dog food grain free,0.0,1.0,0.0,4,0,4,0,grain,5564
control,l1_hybrid,4,blue buffalo freedom grain free,0.0,1.0,0.0,4,0,4,0,grain,2312
control,l1_hybrid,4,blue buffalo grain free,0.0,1.0,0.0,4,0,4,0,grain,6671
control,l1_hybrid,4,blue buffalo grain free cat food,0.25,0.75,0.0,4,1,3,0,grain,9576
control,l1_hybrid,4,blue buffalo grain free dog food,0.25,0.75,0.0,4,1,3,0,grain,18964
control,l1_hybrid,4,blue buffalo grain free dry cat food,0.5,0.5,0.0,4,2,2,0,grain,1161
control,l1_hybrid,4,blue buffalo grain free dry dog food,0.0,1.0,0.0,4,0,4,0,grain,1574
control,l1_hybrid,4,blue buffalo grain free wet cat food,0.0,1.0,0.0,4,0,4,0,grain,1737
control,l1_hybrid,4,blue buffalo grain free wet dog food,0.0,1.0,0.0,4,0,4,0,grain,1694
control,l1_hybrid,4,blue buffalo no chicken,0.75,0.25,0.0,4,3,1,0,chicken,1087
control,l1_hybrid,4,blue buffalo wet dog food grain free,0.0,1.0,0.0,4,0,4,0,grain,989
control,l1_hybrid,4,blue freedom grain free,0.0,1.0,0.0,4,0,4,0,grain,2100
control,l1_hybrid,4,blue grain free,0.0,1.0,0.0,4,0,4,0,grain,1423
control,l1_hybrid,4,bones & chews all natural grain-free jerky,0.0,0.5,0.5,4,0,2,2,grain,4977
control,l1_hybrid,4,bpa free litter box,0.0,0.0,1.0,4,0,0,4,bpa,1302
control,l1_hybrid,4,bully stick odor free,0.0,1.0,0.0,4,0,4,0,odor,2368
control,l1_hybrid,4,bully sticks for dogs odor free,0.0,1.0,0.0,4,0,4,0,odor,4428
