search_term,endpoint_type,rank,doc_id,part_number,sku_name,score,negative_intent,llm_judgment
chicken free dry dog food,lexical,1,227207,200580,"Merrick Real Beef + Sweet Potato Recipe Grain-Free Chicken-Free Adult Dry Dog Food, 22-lb bag",404.59186,chicken,COMPLIANT
chicken free dry dog food,lexical,2,177086,150277,"The Honest Kitchen Human Grade Grain-Free Chicken Whole Food Clusters Dry Dog Food, 20-lb bag",401.42688,chicken,VIOLATION
chicken free dry dog food,lexical,3,177002,150190,"True Acre Foods Grain-Free Chicken & Vegetable Dry Dog Food, 40-lb bag",399.99408,chicken,VIOLATION
chicken free dry dog food,lexical,4,229718,203098,"Merrick Limited Ingredient Diet Grain-Free Chicken-Free Real Lamb & Sweet Potato Recipe Dry Dog Food, 22-lb bag",399.31622,chicken,COMPLIANT
chicken free dry dog food,lexical,5,36657,51502,"Nature's Recipe Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food, 24-lb bag",384.3564,chicken,VIOLATION
chicken free dry dog food,lexical,6,135809,108411,"American Journey Grain-Free Chicken & Sweet Potato Recipe Dry Dog Food, 24-lb bag",378.0046,chicken,VIOLATION
chicken free dry dog food,lexical,7,34342,49161,"Wellness CORE Grain-Free Original Deboned Turkey, Turkey Meal & Chicken Meal Recipe Dry Dog Food, 26-lb bag",377.2965,chicken,VIOLATION
chicken free dry dog food,lexical,8,298067,271646,"Nutrish Grain-Free Chicken & Sweet Potato Recipe Dry Dog Food, 26-lb bag (Rachael Ray)",376.49643,chicken,VIOLATION
chicken free dry dog food,lexical,9,229714,203094,"Merrick Limited Ingredient Diet Grain-Free Chicken-Free Real Salmon & Sweet Potato Recipe Dry Dog Food, 22-lb bag",374.43387,chicken,COMPLIANT
chicken free dry dog food,lexical,10,227204,200577,"Merrick Real Chicken + Sweet Potato Recipe Grain-Free Adult Dry Dog Food, 22-lb bag",373.1047,chicken,VIOLATION
chicken free dry dog food,lexical,11,35934,50778,"Blue Buffalo Freedom Complete & Balanced Nutrition Adult Grain-Free Chicken & Potatoes Dry Dog Food, 24-lb bag",371.91367,chicken,VIOLATION
chicken free dry dog food,lexical,12,253715,227196,"Merrick Backcountry Raw Infused Grain-Free Chicken-Free Pacific Catch Recipe Dry Dog Food, 20-lb bag",371.69498,chicken,COMPLIANT
chicken free dry dog food,lexical,13,32052,46872,"Blue Buffalo Wilderness Chicken Recipe Adult High-Protein Grain-Free Dry Dog Food, 24-lb bag",371.06274,chicken,VIOLATION
chicken free dry dog food,lexical,14,264432,237939,"Natural Balance Limited Ingredient Grain-Free Chicken & Sweet Potato Recipe Dry Dog Food, 24-lb bag",370.68826,chicken,VIOLATION
chicken free dry dog food,lexical,15,121768,94165,"Merrick Lil' Plates Grain-Free Chicken-Free Real Salmon + Sweet Potato Recipe Small Breed Dry Dog Food, 12-lb bag",370.45157,chicken,COMPLIANT
chicken free dry dog food,lexical,16,104014,76138,"Nature's Recipe Small Breed Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food, 12-lb bag",367.91208,chicken,VIOLATION
chicken free dry dog food,lexical,17,1597286,1597286,"Instinct Raw Boost Adult Grain-Free Real Chicken Recipe Dry Dog Food, 20-lb bag",366.48468,chicken,VIOLATION
