search_term,endpoint_type,rank,doc_id,part_number,sku_name,score
2 hounds design freedom no pull dog harness,l1_hybrid,1,155034,127945,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Teal, Medium: 22 to 28-in chest, 1-in wide",0.5
2 hounds design freedom no pull dog harness,l1_hybrid,2,148102,120925,"HDP Big Dog No Pull Dog Harness, Red, Large",0.3333333333333333
2 hounds design freedom no pull dog harness,l1_hybrid,3,1098406,1098406,"PetSafe Easy Walk Comfort Reflective No Pull Dog Harness, Black, Large: 30 to 42-in chest",0.25
2 hounds design freedom no pull dog harness,l1_hybrid,4,1074806,1074806,"Joyride Harness Premium Advanced No Pull Dog Harness 2.0, Black Onyx, Medium: 23 to 28-in chest",0.2
2 hounds design freedom no pull dog harness,l1_hybrid,5,304286,277885,"Frisco Basic No Pull Harness, Pink/Gray, XL",0.16666666666666666
2 hounds design freedom no pull dog harness,l1_hybrid,6,845222,845222,"Red Dingo No Pull Dog Harness, Grey, Large",0.14285714285714285
2 hounds design freedom no pull dog harness,l1_hybrid,7,304306,277905,"Frisco Padded Reflective No Pull Harness, Pink/Black, LG",0.125
2 hounds design freedom no pull dog harness,l1_hybrid,8,1016726,1016726,"WildHound No-Pull Premium Martingale Dog Harness, Black, Medium",0.1111111111111111
2 hounds design freedom no pull dog harness,l1_hybrid,9,131832,104351,"Sporn Original No Pull Training Halter Dog Harness, Black, X-Large: 23 to 33-in neck",0.1
2 hounds design freedom no pull dog harness,l1_hybrid,10,3319558,3319558,"BARKBAY Front Clip Reflective No Pull Dog Harness, Cool Mint & Baby Pink, Large: 24.5 to 32.5-in chest",0.09090909090909091
2 hounds design freedom no pull dog harness,l1_hybrid,11,1202606,1202606,"Gooby Escape Free Comfort X One Dog Harness, Portland Green, Medium: 16 to 19.75-in chest",0.08333333333333333
2 hounds design freedom no pull dog harness,l1_hybrid,12,3279750,3279750,"Puppia Amatus A Over-The-Head Adjustable No-Pull Dog Harness, Beige, Large",0.07692307692307693
