search_term,endpoint_type,rank,doc_id,part_number,sku_name,score
2 hounds design freedom no pull dog harness,l2,1,155033,127944,"2 Hounds Design Freedom No Pull Nylon Dog Harness & Leash, Teal, Medium: 22 to 28-in chest, 5/8-in wide",0.5
2 hounds design freedom no pull dog harness,l2,2,148102,120925,"HDP Big Dog No Pull Dog Harness, Red, Large",0.3333333333333333
2 hounds design freedom no pull dog harness,l2,3,1098406,1098406,"PetSafe Easy Walk Comfort Reflective No Pull Dog Harness, Black, Large: 30 to 42-in chest",0.25
2 hounds design freedom no pull dog harness,l2,4,1074806,1074806,"Joyride Harness Premium Advanced No Pull Dog Harness 2.0, Black Onyx, Medium: 23 to 28-in chest",0.2
2 hounds design freedom no pull dog harness,l2,5,304286,277885,"Frisco Basic No Pull Harness, Pink/Gray, XL",0.16666666666666666
2 hounds design freedom no pull dog harness,l2,6,845222,845222,"Red Dingo No Pull Dog Harness, Grey, Large",0.14285714285714285
2 hounds design freedom no pull dog harness,l2,7,304306,277905,"Frisco Padded Reflective No Pull Harness, Pink/Black, LG",0.125
2 hounds design freedom no pull dog harness,l2,8,1016726,1016726,"WildHound No-Pull Premium Martingale Dog Harness, Black, Medium",0.1111111111111111
2 hounds design freedom no pull dog harness,l2,9,131832,104351,"Sporn Original No Pull Training Halter Dog Harness, Black, X-Large: 23 to 33-in neck",0.1
2 hounds design freedom no pull dog harness,l2,10,3319558,3319558,"BARKBAY Front Clip Reflective No Pull Dog Harness, Cool Mint & Baby Pink, Large: 24.5 to 32.5-in chest",0.09090909090909091
2 hounds design freedom no pull dog harness,l2,11,1202606,1202606,"Gooby Escape Free Comfort X One Dog Harness, Portland Green, Medium: 16 to 19.75-in chest",0.08333333333333333
2 hounds design freedom no pull dog harness,l2,12,3279750,3279750,"Puppia Amatus A Over-The-Head Adjustable No-Pull Dog Harness, Beige, Large",0.07692307692307693
2 hounds design freedom no pull dog harness,l2,13,3279238,3279238,"Puppia Irvin Over-The-Head Adjustable No-Pull Dog Harness, Cream, Large",0.07142857142857142
acana grain free,l2,1,286031,259585,"ACANA Free-Run Poultry Wholesome Grains Dry Dog Food, 4-lb bag",0.5
acana grain free,l2,2,287324,260878,"ACANA Singles Beef & Pumpkin Grain-Free Limited Ingredients & Freeze-Dried Dog Treats, 1.25-oz bag",0.3333333333333333
acana grain free,l2,3,126820,99268,"ACANA Singles Lamb & Apple Grain-Free Limited Ingredients & Freeze-Dried Dog Treats, 3.25-oz bag",0.25
acana grain free,l2,4,121058,93448,"ACANA Free Run Poultry Grain-Free Dry Dog Food, 13-lb bag",0.2
acana grain free,l2,5,826566,826566,"ACANA Butcher's Favorites Grain-Free Free-Run Poultry & Liver Dry Dog Food, 17-lb bag",0.16666666666666666
acana grain free,l2,6,126822,99270,"ACANA Singles Duck & Pear Grain-Free Limited Ingredients & Freeze-Dried Dog Treats, 1.25-oz bag",0.14285714285714285
acana grain free,l2,7,1992526,1992526,"ACANA Red Meat Grain-Free Dry Dog Food, 32-lb bag",0.125
acana grain free,l2,8,826614,826614,"ACANA Butcher's Favorites Grain-Free Wild-Caught Salmon Dry Dog Food, 17-lb bag",0.1111111111111111
acana grain free,l2,9,826582,826582,"ACANA Butcher's Favorites Grain-Free Farm-Raised Beef & Liver Dry Dog Food, 4-lb bag",0.1
acana grain free,l2,10,285981,259535,"ACANA Singles Limited Ingredient Pork & Squash Grain-Free High-Protein Dry Dog Food, 22.5-lb bag",0.09090909090909091
acana grain free,l2,11,285977,259531,"ACANA Singles Limited Ingredient Lamb & Apple Grain-Free High-Protein Dry Dog Food, 22.5-lb bag",0.08333333333333333
acana grain free,l2,12,1106990,1106990,"ACANA Wholesome Grains Puppy Sea & Farm Dry Dog Food, 4-lb bag",0.07692307692307693
acana grain free,l2,13,286019,259573,"ACANA Limited Ingredient Duck & Pumpkin Wholesome Grains Dry Dog Food, 4-lb bag",0.07142857142857142
acana grain free,l2,14,285972,259526,"ACANA Singles Limited Ingredient Beef & Pumpkin Grain-Free High-Protein Dry Dog Food, 13-lb bag",0.06666666666666667
acana grain free,l2,15,121065,93455,"ACANA Freshwater Fish Grain-Free Dry Dog Food, 13-lb bag",0.0625
acana grain free,l2,16,286023,259577,"ACANA Limited Ingredient Lamb & Pumpkin Wholesome Grains Dry Dog Food, 22.5-lb bag",0.058823529411764705
acana grain free,l2,17,822694,822694,"ACANA Wholesome Large Breed Adult Grains Dry Dog Food, 22.5-lb bag",0.05555555555555555
acana grain free,l2,18,294321,267893,"ACANA Wholesome Grains Small Breed Real Chicken Eggs & Turkey Dry Dog Food, 4-lb bag",0.05263157894736842
acana grain free,l2,19,741222,741222,"ACANA Ranch-Raised Beef Morsels Grain-Free High-Protein Freeze-Dried Dog Food & Topper, 8-oz bag",0.05
acana grain free,l2,20,286008,259562,"ACANA Singles Limited Ingredient Duck & Pear Grain-Free High-Protein Dry Dog Food, 22.5-lb bag",0.047619047619047616
acana grain free,l2,21,286026,259580,"ACANA Red Meat & Grains Beef Pork & Lamb Wholesome Grains Dry Dog Food, 22.5-lb bag",0.045454545454545456
acana grain free,l2,22,294318,267890,"ACANA Wholesome Grains Puppy Real Chicken Eggs &Turkey Dry Dog Food, 4-lb bag",0.043478260869565216
acana grain free,l2,23,1106974,1106974,"ACANA Premium Pate Poultry in Bone Broth Grain-Free Wet Dog Food, 12.8-oz, case of 12",0.041666666666666664
acana grain free,l2,24,286010,259564,"ACANA Puppy Grain-Free Dry Dog Food, 4.5-lb bag",0.04
acana grain free,l2,25,741190,741190,"ACANA Free-Run Turkey Morsels Grain-Free High-Protein Freeze-Dried Dog Food & Topper, 8-oz bag",0.038461538461538464
acana grain free,l2,26,285990,259544,"ACANA Light & Fit Grain-Free Dry Dog Food, 13-lb bag",0.037037037037037035
acana grain free,l2,27,741158,741158,"ACANA Free-Run Chicken Morsels Grain-Free High-Protein Freeze-Dried Dog Food & Topper, 8-oz bag",0.03571428571428571
acana grain free,l2,28,286028,259582,"ACANA Sea to Stream Saltwater Fish Wholesome Grains Dry Dog Food, 4-lb bag",0.034482758620689655
acana grain free,l2,29,741126,741126,"ACANA Free-Run Duck Morsels Grain-Free High-Protein Freeze-Dried Dog Food & Topper, 8-oz bag",0.03333333333333333
acana grain free,l2,30,123893,96320,"ACANA Appalachian Ranch Highest Protein Grain-Free Dry Dog Food, 25-lb bag",0.03225806451612903
acana grain free,l2,31,822710,822710,"ACANA Wholesome Grains Large Breed Puppy Dry Dog Food, 22.5-lb bag",0.03125
acana grain free,l2,32,285994,259548,"ACANA Grasslands Chicken Duck Turkey Fish & Quail Grain-Free Dry Cat Food, 10-lb bag",0.030303030303030304
acana grain free,l2,33,123871,96298,"ACANA Meadowland Highest Protein Grain-Free Dry Dog Food, 4.5-lb bag",0.029411764705882353
acana grain free,l2,34,1026366,1026366,"ACANA Indoor Entree Fish Dry Cat Food, 10-lb bag",0.02857142857142857
