search_term,endpoint_type,rank,doc_id,part_number,sku_name,score
chicken free dry dog food,l2,1,36670,51515,"Nature's Recipe Small Breed Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food, 4-lb bag",0.5
chicken free dry dog food,l2,2,177002,150190,"True Acre Foods Grain-Free Chicken & Vegetable Dry Dog Food, 40-lb bag",0.3333333333333333
chicken free dry dog food,l2,3,227207,200580,"Merrick Real Beef + Sweet Potato Recipe Grain-Free Chicken-Free Adult Dry Dog Food, 22-lb bag",0.25
chicken free dry dog food,l2,4,35934,50778,"Blue Buffalo Freedom Complete & Balanced Nutrition Adult Grain-Free Chicken & Potatoes Dry Dog Food, 24-lb bag",0.2
chicken free dry dog food,l2,5,36655,51500,"Nature's Recipe Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food, 4-lb bag",0.1666666666666666
chicken free dry dog food,l2,6,103614,75733,"Blue Buffalo Freedom Senior Grain-Free Chicken & Potatoes Dry Dog Food, 24-lb bag",0.1428571428571428
chicken free dry dog food,l2,7,248066,221529,"I and Love and You Naked Essentials Grain-Free Chicken and Duck Recipe Dry Dog Food, 40-lb bag",0.125
chicken free dry dog food,l2,8,298067,271646,"Nutrish Grain-Free Chicken & Sweet Potato Recipe Dry Dog Food, 26-lb bag (Rachael Ray)",0.1111111111111111
chicken free dry dog food,l2,9,35938,50782,"Blue Buffalo Freedom Small Breed Grain-Free Chicken & Potatoes Dry Dog Food, 11-lb bag",0.1
chicken free dry dog food,l2,10,227226,200599,"Merrick Grain-Free Senior Dry Dog Food Real Chicken & Sweet Potato Recipe, 4-lb bag",0.0909090909090909
chicken free dry dog food,l2,11,229718,203098,"Merrick Limited Ingredient Diet Grain-Free Chicken-Free Real Lamb & Sweet Potato Recipe Dry Dog Food, 22-lb bag",0.0833333333333333
chicken free dry dog food,l2,12,121059,93449,"ACANA Free Run Poultry Grain-Free Dry Dog Food, 25-lb bag",0.0769230769230769
chicken free dry dog food,l2,13,280319,253856,"Merrick Real Chicken + Sweet Potato Recipe Grain-Free Adult Dry Dog Food, 30-lb bag",0.0714285714285714
chicken free dry dog food,l2,14,229712,203092,"Merrick Limited Ingredient Diet Grain-Free Chicken-Free Real Salmon & Sweet Potato Recipe Dry Dog Food, 4-lb bag",0.0666666666666666
chicken free dry dog food,l2,15,264432,237939,"Natural Balance Limited Ingredient Grain-Free Chicken & Sweet Potato Recipe Dry Dog Food, 24-lb bag",0.0625
chicken free dry dog food,l2,16,146641,119452,"Wholesomes Chicken Meal & Potatoes Formula Grain-Free Dry Dog Food, 35-lb bag",0.0588235294117647
chicken free dry dog food,l2,17,915110,915110,"Nature's Recipe Grain-Free Salmon, Sweet Potato & Pumpkin Recipe Dry Dog Food, 34-lb bag",0.0555555555555555
chicken free dry dog food,l2,18,177005,150193,"True Acre Foods Grain-Free Beef & Vegetable Dry Dog Food, 30-lb bag",0.0526315789473684
chicken free dry dog food,l2,19,35982,50826,"Blue Buffalo Freedom Large Breed Grain-Free Chicken & Potatoes Dry Dog Food, 24-lb bag",0.05
chicken free dry dog food,l2,20,37750,52607,"Evanger's Grain-Free Chicken with Sweet Potato & Pumpkin Recipe Dry Dog Food, 16.5-lb bag",0.0476190476190476
chicken free dry dog food,l2,21,104133,76257,"Nature's Recipe Large Breed Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food, 24-lb bag",0.0454545454545454
chicken free dry dog food,l2,22,165930,138975,"CANIDAE Under the Sun Grain-Free Chicken Recipe Adult Dry Dog Food, 40-lb bag",0.0434782608695652
chicken free dry dog food,l2,23,121770,94167,"Merrick Lil' Plates Grain-Free Chicken-Free Real Beef + Sweet Potato Recipe Small Breed Dry Dog Food, 4-lb bag",0.0416666666666666
chicken free dry dog food,l2,24,103594,75713,"Blue Buffalo Freedom Healthy Weight Adult Grain-Free Chicken & Potatoes Dry Dog Food, 24-lb bag",0.04
chicken free dry dog food,l2,25,146643,119454,"Wholesomes Grain-Free Whitefish Meal & Potatoes Formula Dry Dog Food, 35-lb bag",0.0384615384615384
chicken free dry dog food,l2,26,721950,721950,"Halo Holistic Complete Digestive Health Grain-Free Chicken & Sweet Potato Dog Food Recipe Small Breed Dry Dog Food, 10-lb bag",0.037037037037037
chicken free dry dog food,l2,27,141789,114513,"Wellness CORE+ Grain-Free Wild Game Recipe with Freeze-Dried Lamb Dry Dog Food, 10-lb bag",0.0357142857142857
chicken free dry dog food,l2,28,47135,62160,"Diamond Naturals Grain-Free Chicken & Sweet Potato Formula Dry Dog Food, 28-lb bag",0.0344827586206896
chicken free dry dog food,l2,29,121070,93460,"ACANA Red Meat Grain-Free Dry Dog Food, 25-lb bag",0.0333333333333333
chicken free dry dog food,l2,30,264446,237953,"Natural Balance Limited Ingredient Grain-Free Salmon & Sweet Potato Small Breed Bites Recipe Dry Dog Food, 4-lb bag",0.032258064516129
chicken free dry dog food,l2,31,286031,259585,"ACANA Free-Run Poultry Wholesome Grains Dry Dog Food, 4-lb bag",0.03125
chicken free dry dog food,l2,32,227217,200590,"Merrick Grain-Free Dry Dog Food Real Duck & Sweet Potato Recipe, 4-lb bag",0.0303030303030303
chicken free dry dog food,l2,33,56195,71285,"Health Extension Grain-Free Chicken & Turkey Recipe Dry Dog Food, 10-lb bag",0.0294117647058823
chicken free dry dog food,l2,34,230016,203396,"Merrick Grain-Free Dry Dog Food Real Bison, Beef & Sweet Potato Recipe, 10-lb bag",0.0285714285714285
chicken free dry dog food,l2,35,332474,306153,"American Natural Premium Legume-Free Chicken-Free Duck with Butternut Squash Dry Dog Food, 30-lb bag",0.0277777777777777
chicken free dry dog food,l2,36,331551,305230,"Chicken Soup for the Soul Grain-Free Salmon, Pea & Sweet Potato Recipe Dry Dog Food, 10-lb bag",0.027027027027027
grain free dog food,l2,1,40899,55842,"Taste of the Wild Southwest Canyon Grain-Free Dry Dog Food, 28-lb bag",0.5
grain free dog food,l2,2,1759414,1759414,"Chewy Limited Ingredient Salmon & Sweet Potato Recipe Grain-Free Dry Dog Food, 24-lb bag",0.3333333333333333
grain free dog food,l2,3,146643,119454,"Wholesomes Grain-Free Whitefish Meal & Potatoes Formula Dry Dog Food, 35-lb bag",0.25
grain free dog food,l2,4,119118,91467,"Taste of the Wild Appalachian Valley Small Breed Grain-Free Dry Dog Food, 28-lb bag",0.2
grain free dog food,l2,5,121069,93459,"ACANA Red Meat Grain-Free Dry Dog Food, 13-lb bag",0.1666666666666666
grain free dog food,l2,6,181320,154551,"Taste of the Wild High Prairie Grain-Free Dry Dog Food, 28-lb bag",0.1428571428571428
grain free dog food,l2,7,146639,119450,"Wholesomes Grain-Free Beef Meal & Potatoes Formula Dry Dog Food, 35-lb bag",0.125
grain free dog food,l2,8,181318,154549,"Taste of the Wild Pacific Stream Smoke-Flavored Salmon Grain-Free Dry Dog Food, 28-lb bag",0.1111111111111111
grain free dog food,l2,9,1759390,1759390,"Chewy Limited Ingredient Lamb & Sweet Potato Recipe Grain-Free Dry Dog Food (FORMERLY AMERICAN JOURNEY), 24-lb bag",0.1
grain free dog food,l2,10,227222,200595,"Merrick Grain-Free Real Salmon & Sweet Potato Recipe Dry Dog Food, 22-lb bag",0.0909090909090909
grain free dog food,l2,11,36670,51515,"Nature's Recipe Small Breed Grain-Free Chicken, Sweet Potato & Pumpkin Recipe Dry Dog Food, 4-lb bag",0.0833333333333333
grain free dog food,l2,12,181313,154544,"Taste of the Wild Wetlands Grain-Free Dry Dog Food, 28-lb bag",0.0769230769230769
grain free dog food,l2,13,121059,93449,"ACANA Free Run Poultry Grain-Free Dry Dog Food, 25-lb bag",0.0714285714285714
grain free dog food,l2,14,34254,49073,"Taste of the Wild Sierra Mountain Grain-Free Dry Dog Food, 5-lb bag",0.0666666666666666
grain free dog food,l2,15,1759462,1759462,"Chewy Limited Ingredient Venison & Sweet Potato Recipe Grain-Free Dry Dog Food (FORMERLY AMERICAN JOURNEY), 24-lb bag",0.0625
grain free dog food,l2,16,181326,154557,"Taste of the Wild Pacific Stream Smoke-Flavored Salmon Puppy Recipe Grain-Free Dry Dog Food, 28-lb bag",0.0588235294117647
grain free dog food,l2,17,230017,203397,"Merrick Grain-Free Dry Dog Food Real Bison, Beef & Sweet Potato Recipe, 22-lb bag",0.0555555555555555
grain free dog food,l2,18,264446,237953,"Natural Balance Limited Ingredient Grain-Free Salmon & Sweet Potato Small Breed Bites Recipe Dry Dog Food, 4-lb bag",0.0526315789473684
